Date,Monthly Listeners
08-16-2020,9066338
08-17-2020,9096972
08-18-2020,9138003
08-19-2020,9176872
08-20-2020,9213954
08-21-2020,9249834
08-22-2020,9276897
08-23-2020,9323417
08-24-2020,9359000
08-25-2020,9399908
08-26-2020,9440800
08-27-2020,9487240
08-28-2020,9530588
08-29-2020,9587092
08-30-2020,9649044
08-31-2020,9697734
09-01-2020,9764800
09-02-2020,9824400
09-03-2020,9894250
09-04-2020,9958588
09-05-2020,10028243
09-06-2020,10097432
09-07-2020,10149106
09-08-2020,10202580
09-09-2020,10248560
09-10-2020,10291959
09-11-2020,10326897
09-12-2020,10361353
09-13-2020,10400124
09-14-2020,10438887
09-15-2020,10467227
09-16-2020,10507148
09-17-2020,10537025
09-18-2020,10565132
09-19-2020,10565132
09-20-2020,10559710
09-21-2020,10550895
09-22-2020,10548404
09-23-2020,10548404
09-24-2020,10559236
09-25-2020,10557339
09-26-2020,10725471
09-27-2020,10839218
09-28-2020,10839218
09-29-2020,10878043
09-30-2020,10919775
10-01-2020,10955770
10-02-2020,10995454
10-03-2020,11025534
10-04-2020,11051483
10-05-2020,11067669
10-06-2020,11082301
10-07-2020,11091999
10-08-2020,11111513
10-09-2020,11115587
10-10-2020,11128028
10-11-2020,11137695
10-12-2020,11137695
10-13-2020,11141508
10-14-2020,11149738
10-15-2020,11172891
10-16-2020,11200511
10-17-2020,11221186
10-18-2020,11243119
10-19-2020,11272287
10-20-2020,11309936
10-21-2020,11334939
10-22-2020,11354127
10-23-2020,11393588
10-24-2020,11315547
10-25-2020,11292952
10-26-2020,11298523
10-27-2020,11300581
10-28-2020,11297207
10-29-2020,11281792
10-30-2020,11265140
10-31-2020,11283549
11-01-2020,11283549
11-02-2020,11279971
11-03-2020,11292071
11-04-2020,11305709
11-05-2020,11305709
11-06-2020,11318909
11-07-2020,11351726
11-08-2020,11351726
11-09-2020,11381177
11-10-2020,11404363
11-11-2020,11433833
11-12-2020,11472570
11-13-2020,11520818
11-14-2020,11558554
11-15-2020,11594478
11-16-2020,11616760
11-17-2020,11639067
11-18-2020,11673388
11-19-2020,11704803
11-20-2020,11717406
11-21-2020,11734262
11-22-2020,11755703
11-23-2020,11757413
11-24-2020,11760975
11-25-2020,11774191
11-26-2020,11790083
11-27-2020,11797770
11-28-2020,11766289
11-29-2020,11760451
11-30-2020,11772538
12-01-2020,11777824
12-02-2020,11782548
12-03-2020,11826520
12-04-2020,11852865
12-05-2020,11860183
12-06-2020,11864386
12-07-2020,11858055
12-08-2020,11856838
12-09-2020,11847200
12-10-2020,11847200
12-11-2020,11815924
12-12-2020,11791487
12-13-2020,11763291
12-14-2020,11751279
12-15-2020,11745809
12-16-2020,11730027
12-17-2020,11706468
12-18-2020,11683441
12-19-2020,11660474
12-20-2020,11641544
12-21-2020,11627734
12-22-2020,11625631
12-23-2020,11610009
12-24-2020,11591819
12-25-2020,11591506
12-26-2020,11567517
12-27-2020,11530391
12-28-2020,11530391
12-29-2020,11499234
12-30-2020,11498513
12-31-2020,11472247
01-01-2021,11498494
01-02-2021,11436450
01-03-2021,11389283
01-04-2021,11374725
01-05-2021,11371005
01-06-2021,11374282
01-07-2021,11348178
01-08-2021,11340413
01-09-2021,11340413
01-10-2021,11333390
01-11-2021,11341039
01-12-2021,11353095
01-13-2021,11364517
01-14-2021,11364517
01-15-2021,11361237
01-16-2021,11357720
01-17-2021,11356435
01-18-2021,11356435
01-19-2021,11361246
01-20-2021,11357155
01-21-2021,11331741
01-22-2021,11306980
01-23-2021,12650727
01-24-2021,12650727
01-25-2021,12986633
01-26-2021,13288946
01-27-2021,13547499
01-28-2021,13786136
01-29-2021,13946660
01-30-2021,14332833
01-31-2021,14715180
02-01-2021,14995659
02-02-2021,15272414
02-03-2021,15553463
02-04-2021,15819840
02-05-2021,16332433
02-06-2021,16332433
02-07-2021,16559357
02-08-2021,16735450
02-09-2021,16896700
02-10-2021,17086218
02-11-2021,17275503
02-12-2021,17466545
02-13-2021,17641945
